concept,concept2,distance_common,distance_first_quartile,n_titles,total_count
8-bit,Allele_frequency,-0.04,0.0,1.0,74.0
8-bit,Cytoplasm,0.06173333333333334,0.03093333333333336,2.0,150.0
8-bit,DNA_supercoil,0.06,0.06,1.0,73.0
8-bit,Escherichia_coli,0.14,0.06,1.0,73.0
8-bit,Genome,0.0,0.0,1.0,73.0
8-bit,Glucose,-0.00035928143712571955,0.004670658682634737,2.0,167.0
8-bit,Habitat,0.48,0.06,1.0,93.0
8-bit,Human_genome,0.0,0.0,1.0,66.0
8-bit,Messenger_RNA,0.06598802395209581,0.053532934131736536,2.0,167.0
8-bit,Natural_selection,-0.02,0.02,1.0,94.0
8-bit,Nuclease,0.26,0.04,1.0,73.0
8-bit,Protein_dimer,0.54,0.08,1.0,73.0
8-bit,Saccharomyces_cerevisiae,0.58,0.06,1.0,73.0
8-bit,Topoisomerase,0.06,0.06,1.0,73.0
8-bit,Tyrosine,0.28,0.06,1.0,73.0
8-bit,United_States,0.2437086092715232,0.009403973509933774,2.0,151.0
Acetylation,Chromatin,0.0,0.0,1.0,51.0
Acetylation,DNA_polymerase,0.04,0.02,1.0,51.0
Acetylation,DNA_repair,0.12,0.08,1.0,51.0
Acetylation,DNA_replication,0.06,0.04,1.0,51.0
Acetylation,Directionality_(molecular_biology),0.04,0.04,1.0,51.0
Acetylation,DnaB_helicase,0.04,0.04,1.0,51.0
Acetylation,Endonuclease,0.14,0.06,1.0,51.0
Acetylation,Epigenetics,0.02,0.02,1.0,51.0
Acetylation,Eukaryote,0.48,0.06,1.0,51.0
Acetylation,Exonuclease,0.04,0.04,1.0,51.0
Acetylation,Gene_expression,0.5,0.0,1.0,51.0
Acetylation,Genetic_recombination,0.16,0.0,1.0,51.0
Acetylation,Histone,0.0,0.0,1.0,51.0
Acetylation,N-terminus,0.38,0.0,1.0,51.0
Acetylation,Nucleosome,0.0,0.0,1.0,51.0
Acetylation,Okazaki_fragments,0.04,0.04,1.0,51.0
Acetylation,Phosphorylation,0.42,0.08,1.0,51.0
Acetylation,Primer_(molecular_biology),0.04,0.04,1.0,51.0
Acetylation,Prokaryote,0.36,0.06,1.0,51.0
Acetylation,Reverse_transcriptase,0.2,0.06,1.0,51.0
Acetylation,Telomerase,0.06,0.06,1.0,51.0
Acetylation,Telomere,0.06,0.06,1.0,51.0
Acetylation,X_chromosome,0.5,0.0,1.0,51.0
Actin,Action_potential,-0.04,0.04,1.0,96.0
Actin,Axon,-0.06,0.04,1.0,96.0
Actin,B_cell,-0.1,0.0,1.0,90.0
Actin,Chemical_synapse,-0.039999999999999994,0.039999999999999994,1.0,58.0
Actin,Extracellular_fluid,0.06,0.04,1.0,71.0
Actin,Major_histocompatibility_complex,-0.10000000000000002,0.0,1.0,53.0
Actin,Membrane_potential,-0.05999999999999999,0.04,1.0,88.0
Actin,Motor_neuron,-0.04,0.06,1.0,93.0
Actin,Neuron,-0.04,0.04,1.0,96.0
Actin,Neurotransmitter,-0.04,0.04,1.0,96.0
Actin,Photoreceptor_cell,-0.020000000000000004,0.06,1.0,57.0
Actin,Retina,-0.02,0.08,1.0,69.0
Actin,Rod_cell,-0.02,0.06,1.0,50.0
Actin,Sensory_receptor,-0.04,0.06,1.0,59.0
Actin,Spermatozoon,-0.08,0.0,1.0,96.0
Actin,Spinal_cord,-0.02,0.06,1.0,71.0
Actin,Synapse,-0.04,0.04,1.0,54.0
Actin,Uterus,-0.08,0.02,1.0,51.0
Action_potential,Atrium_(heart),0.06,0.08,1.0,54.0
Action_potential,Axon,-0.02,0.0,1.0,161.0
Action_potential,Bicarbonate,0.12,0.08,1.0,80.0
Action_potential,Blood_plasma,0.12,0.08,1.0,66.0
Action_potential,Capillary,0.08,0.08,1.0,100.0
Action_potential,Chemical_synapse,0.0,0.0,1.0,58.0
Action_potential,Extracellular_fluid,0.1,0.0,1.0,71.0
Action_potential,Gas_exchange,0.06,0.06,1.0,94.0
Action_potential,Membrane_potential,-0.02,0.0,1.0,88.0
Action_potential,Motor_neuron,0.0,0.02,1.0,93.0
Action_potential,Myosin,0.04,0.06,1.0,96.0
Action_potential,Neuron,0.0,0.0,1.0,240.0
Action_potential,Neurotransmitter,0.0,0.0,1.0,114.0
Action_potential,Photoreceptor_cell,0.020000000000000004,0.020000000000000004,1.0,57.0
Action_potential,Pulmonary_alveolus,0.06,0.08,1.0,53.0
Action_potential,Retina,0.02,0.04,1.0,69.0
Action_potential,Rod_cell,0.02,0.02,1.0,50.0
Action_potential,Sensory_receptor,0.0,0.02,1.0,59.0
Action_potential,Smooth_muscle_tissue,0.04,0.06,1.0,68.0
Action_potential,Spinal_cord,0.02,0.02,1.0,71.0
Action_potential,Synapse,0.0,0.0,1.0,54.0
Active_site,Adenosine_monophosphate,0.04,0.0,1.0,52.0
Active_site,Adenosine_triphosphate,-0.041360544217687076,0.0,2.0,147.0
Active_site,Ammonia,0.4600000000000001,0.02,1.0,71.0
Active_site,Apoptosis,0.04,0.04,1.0,71.0
Active_site,Base_pair,0.06965986394557822,0.06965986394557822,2.0,147.0
Active_site,C-terminus,0.04,0.04,1.0,76.0
Active_site,C4_carbon_fixation,0.02,0.02,1.0,53.0
Active_site,Cancer,0.04,0.04,1.0,63.0
Active_site,Carboxylic_acid,0.0,0.0,1.0,71.0
Active_site,Catalysis,0.0,0.0,1.0,55.0
Active_site,Cell_wall,-0.06,0.04,1.0,71.0
Active_site,Cellular_respiration,0.02,0.0,1.0,71.0
Active_site,Chlorophyll,0.02,0.02,1.0,71.0
Active_site,Chromatid,0.04,0.04,1.0,56.0
Active_site,Citric_acid,0.0,0.0,1.0,60.0
Active_site,Cofactor_(biochemistry),0.0,0.0,1.0,50.0
Active_site,Cyclin-dependent_kinase,0.04,0.04,1.0,50.0
Active_site,Cytosine,0.34,0.04,1.0,64.0
Active_site,DNA,0.15238095238095237,0.08,2.0,147.0
Active_site,DNA_ligase,0.08,0.08,1.0,76.0
Active_site,Enzyme,0.0,0.0,2.0,147.0
Active_site,Enzyme_substrate_(biology),0.0,0.0,1.0,51.0
Active_site,Fermentation,0.02,0.0,1.0,50.0
Active_site,Genotype,0.22,0.06,1.0,71.0
Active_site,Glycolysis,0.0,0.0,1.0,71.0
Active_site,HIV,0.49666666666666676,0.07666666666666667,2.0,144.0
Active_site,Helicase,0.0,0.0,1.0,76.0
Active_site,Hydrogen_ion,0.0,0.0,1.0,68.0
Active_site,Hydrolysis,0.30054421768707484,0.011020408163265306,2.0,147.0
Active_site,Ion_channel,0.62,0.0,1.0,71.0
Active_site,Lactose,0.64,0.02,1.0,76.0
Active_site,Light-independent_reactions,0.02,0.02,1.0,65.0
Active_site,Liver,0.72,0.02,1.0,71.0
Active_site,Lysine,0.56,0.0,1.0,76.0
Active_site,Lysozyme,0.26,0.0,1.0,52.0
Active_site,Metabolism,0.6793197278911565,0.05795918367346938,2.0,147.0
Active_site,Nanometre,0.0941095890410959,0.0016438356164383576,2.0,146.0
Active_site,Nicotinamide_adenine_dinucleotide,0.0,0.0,1.0,71.0
Active_site,Nicotinamide_adenine_dinucleotide_phosphate,0.02,0.02,1.0,59.0
Active_site,Nucleic_acid_double_helix,0.04,0.04,1.0,76.0
Active_site,Nucleic_acid_thermodynamics,0.06,0.08,1.0,53.0
Active_site,Nucleophile,0.0,0.0,1.0,51.0
Active_site,Nucleotide,0.3178231292517007,0.002040816326530611,2.0,147.0
Active_site,Oligonucleotide,0.1,0.08,1.0,75.0
Active_site,Oxygen,0.68,0.02,1.0,71.0
Active_site,Phosphodiester_bond,0.42,0.08,1.0,76.0
Active_site,Phosphorus,-0.12,0.0,1.0,62.0
Active_site,Photosynthesis,0.02,0.02,1.0,71.0
Active_site,Polyploid,0.24,0.04,1.0,63.0
Active_site,Proton,0.0,0.0,1.0,71.0
Active_site,Purine,0.04000000000000001,0.04000000000000001,1.0,57.0
Active_site,Pyrimidine,0.04,0.04,1.0,69.0
Active_site,Sucrose,0.44,0.02,1.0,71.0
Active_site,Thylakoid,0.02,0.0,1.0,71.0
Active_site,Water,0.02,0.0,1.0,71.0
Active_transport,Active_site,0.04,0.04,1.0,71.0
Active_transport,Adenosine_triphosphate,0.04,0.04,1.0,74.0
Active_transport,Amino_acid,0.14,0.02,1.0,74.0
Active_transport,Ammonia,0.5,0.05999999999999999,1.0,74.0
Active_transport,Apoptosis,0.08,0.08,1.0,74.0
Active_transport,C4_carbon_fixation,0.06,0.06,1.0,53.0
Active_transport,Cancer,0.08,0.08,1.0,63.0
Active_transport,Carbohydrate,0.05999999999999999,0.0,1.0,74.0
Active_transport,Carboxylic_acid,0.04,0.04,1.0,74.0
Active_transport,Cell_cycle,0.08,0.08,1.0,74.0
Active_transport,Cell_division,0.08,0.08,1.0,74.0
Active_transport,Cell_membrane,0.0,0.0,1.0,74.0
Active_transport,Cell_wall,-0.02,0.08,1.0,74.0
Active_transport,Cellular_respiration,0.05999999999999999,0.04,1.0,74.0
Active_transport,Chlorophyll,0.05999999999999999,0.05999999999999999,1.0,74.0
Active_transport,Chromatid,0.08,0.08,1.0,56.0
Active_transport,Chromosome,0.08,0.08,1.0,74.0
Active_transport,Citric_acid,0.04,0.04,1.0,60.0
Active_transport,Cyclic_adenosine_monophosphate,0.02,0.02,1.0,54.0
Active_transport,Cyclin-dependent_kinase,0.08,0.08,1.0,50.0
Active_transport,Cytoplasm,0.62,0.02,1.0,74.0
Active_transport,Diffusion,0.0,0.0,1.0,74.0
Active_transport,Earth,0.32,0.02,1.0,74.0
Active_transport,Enzyme,0.04,0.04,1.0,74.0
Active_transport,Epinephrine,0.02,0.02,1.0,74.0
Active_transport,Eukaryote,0.36,0.08,1.0,74.0
Active_transport,Fermentation,0.06,0.04,1.0,50.0
Active_transport,G_protein,0.02,0.02,1.0,56.0
Active_transport,Gibbs_free_energy,0.02,0.02,1.0,68.0
Active_transport,Glucose,0.76,0.0,1.0,74.0
Active_transport,Glycogen,0.76,0.02,1.0,66.0
Active_transport,Glycolysis,0.04,0.04,1.0,74.0
Active_transport,Glycoprotein,0.6,0.0,1.0,68.0
Active_transport,Hydrogen_ion,0.04,0.04,1.0,68.0
Active_transport,Hydrolysis,0.02,0.02,1.0,74.0
Active_transport,Ion,-0.05999999999999999,0.04,1.0,74.0
Active_transport,Ion_channel,0.66,0.04,1.0,74.0
Active_transport,Light-independent_reactions,0.06,0.06,1.0,65.0
Active_transport,Liver,0.76,0.05999999999999999,1.0,74.0
Active_transport,Lysozyme,0.3,0.04,1.0,52.0
Active_transport,Meiosis,0.08,0.08,1.0,74.0
Active_transport,Membrane_protein,0.0,0.0,1.0,65.0
Active_transport,Mitochondrion,-0.02,0.04,1.0,74.0
Active_transport,Mitosis,0.08,0.08,1.0,74.0
Active_transport,Nicotinamide_adenine_dinucleotide,0.04,0.04,1.0,74.0
Active_transport,Nicotinamide_adenine_dinucleotide_phosphate,0.06,0.06,1.0,59.0
Active_transport,Oxygen,0.72,0.05999999999999999,1.0,74.0
Active_transport,PH,0.04,0.04,1.0,74.0
Active_transport,Phosphate,0.02,0.02,1.0,74.0
Active_transport,Photosynthesis,0.05999999999999999,0.05999999999999999,1.0,74.0
Active_transport,Polyploid,0.28,0.08,1.0,63.0
Active_transport,Prokaryote,0.34,0.08,1.0,74.0
Active_transport,Protein,0.14,0.02,1.0,74.0
Active_transport,Protein_kinase,0.02,0.02,1.0,67.0
Active_transport,Proton,0.04,0.04,1.0,74.0
Active_transport,Receptor_(biochemistry),0.0,0.02,1.0,74.0
Active_transport,Signal_transduction,0.02,0.02,1.0,74.0
Active_transport,Sodium,0.64,0.0,1.0,74.0
Active_transport,Sucrose,0.4799999999999999,0.05999999999999999,1.0,74.0
Active_transport,Thylakoid,0.060000000000000005,0.04,1.0,72.0
Active_transport,Water,0.05999999999999999,0.04,1.0,74.0
Adenine,Alpha_helix,0.10000000000000002,0.04,1.0,101.0
Adenine,Amino_acid,0.6999999999999998,0.06,1.0,101.0
Adenine,Biochemistry,0.56,0.04,1.0,52.0
Adenine,Biomolecular_structure,0.10000000000000002,0.04,1.0,101.0
Adenine,Carbon,0.08,0.02,1.0,66.0
Adenine,Covalent_bond,0.06,0.0,1.0,62.0
Adenine,Enzyme_catalysis,0.16,0.02,1.0,52.0
Adenine,Flat-four_engine,0.12,0.04,1.0,101.0
Adenine,Glutamic_acid,0.7,0.04,1.0,73.0
Adenine,Glutamine,0.4799999999999999,0.05999999999999999,1.0,67.0
Adenine,Glycine,0.7,0.04,1.0,51.0
Adenine,Hydrogen,0.08,0.0,1.0,51.0
Adenine,Hydrogen_bond,0.1,0.04,1.0,99.0
Adenine,Hydrophobe,0.12,0.04,1.0,66.0
Adenine,Ion,0.08,0.04,1.0,101.0
Adenine,Ligand,0.84,0.08,1.0,52.0
Adenine,Nucleic_acid,0.20000000000000004,0.08,1.0,101.0
Adenine,PH,0.08,0.02,1.0,101.0
Adenine,Peptide,0.10000000000000002,0.04,1.0,101.0
Adenine,Peptide_bond,0.10000000000000002,0.04,1.0,101.0
Adenine,Phenylalanine,0.7,0.08,1.0,66.0
Adenine,Phosphate,0.20000000000000004,0.08,1.0,101.0
Adenine,Polymer,0.72,0.0,1.0,84.0
Adenine,Protein_Data_Bank,0.74,0.06,1.0,101.0
